Species,TaxID,Temperature
Fomitopsis pinicola,40483,38
Fonsecaea multimorphosa ,979981,39
Friedmanniomyces endolithicus,329885,25
Friedmanniomyces simplex,329884,24
Fulvia fulva,5499,35
Fusarium acuminatum,5515,37.5
Fusarium anguioides,183586,33
Fusarium anthophilum,48485,37.5
Fusarium avenaceum,40199,38
Fusarium beomiforme,44412,40
Fusarium camptoceras,57143,35.75
Fusarium chlamydosporum,86545,37.5
Fusarium circinatum,48490,30
Fusarium culmorum,5516,38
Fusarium equiseti,61235,37.5
Fusarium flocciferum,56642,35.75
Fusarium graminearum,5518,39
Fusarium graminum,86546,37.5
Fusarium heterosporum,42747,37.5
Fusarium incarnatum,298378,45
Fusarium langsethiae,179993,35
Fusarium lateritium,5523,35.75
Fusarium longipes,694270,37.5
Fusarium oligoseptatum,2604345,35
Fusarium oxysporum,5507,40
Fusarium phyllophilum,47803,35
Fusarium poae,36050,37
Fusarium proliferatum,948311,32
Fusarium pseudograminearum,101028,30
Fusarium redolens,48865,37.5
Fusarium solani,169388,39
Fusarium sporotrichioides,5514,34
Fusarium tricinctum,61284,38
Gaeumannomyces graminis,29850,35
Ganoderma lucidum,5315,46
Ganoderma sinense,36075,37
Geotrichum candidum,1173061,38
Glaciozyma Antarctica,105987,15
Glaciozyma martinii,1074868,20
Globisporangium debaryanum,231958,37.5
Globisporangium splendens,82926,37.5
Globisporangium ultimum,2052682,41.8
Gloeophyllum trabeum,104355,48
Colletotrichum orbiculare,5465,34.5
Gloeostereum incarnatum,98760,30
Goffeauzyma gilvescens,104405,28
Grifola frondosa,5627,32
Gymnopilus junonius,109634,30
Hanseniaspora uvarum,29833,40
Schizosaccharomyces japonicus,4897,40
Helminthosporium solani,58128,30
Hemileia vastatrix,203904,28
Hericium coralloides,100756,37
Hericium erinaceus,91752,36
Heterobasidion annosum,13563,44
Hirsutella minnesotensis,332947,20
Hirsutella rhossiliensis,111463,36
Hirsutella thompsonii,42368,38
Histoplasma capsulatum,5037,33
Hortaea werneckii,91943,35
Humicola hyalothermophila,1486343,52
Hygrophorus russula,264141,31
Hymenoscyphus fraxineus,746836,30
Hypholoma fasciculare,72129,31
Hypholoma lateritium,2082196,27
Hyphopichia burtonii,717740,37
Hypsizygus marmoreus,39966,39
Ilyonectria mors-panacis,1079131,28
Ilyonectria robusta,1079257,28
Incumbomyces delicatus,2752694,32
Incumbomyces lentus,2752695,32
Arxiozyma telluris,36907,45
Kluyveromyces lactis,28985,37
Kodamaea laetipori,271274,35
Komagataella pastoris,4922,34
Lachancea meyersii,300276,35
Lachancea thermotolerans,381046,49
Lactarius controversus,116075,31
Lactarius deliciosus,55514,34
Laetiporus sulphureus,5630,40
Lasiodiplodia theobromae,45133,38.5
Lentinula edodes,5353,32
Lentinus tigrinus ,5365,43
Leucosporidium scottii,5278,30
Leucosporidium yakuticum,231218,22
Lichtheimia corymbifera,42458,51
Lichtheimia hyalospora,420593,41
Lichtheimia ornata,688661,48
Lipomyces starkeyi,29829,31
Macrolepiota dolichaula,190371,34
Macrophomina phaseolina ,35725,42
Madurella fahalii,1157608,41
Madurella mycetomatis ,100816,40
Malassezia globosa,76773,39
Malassezia pachydermatis,77020,41
Malassezia restricta,76775,33
Malassezia vespertilionis,2020962,37
Malbranchea cinnamomea,5041,57
Melampsora lini,5261,30
Metarhizium acridum,92637,38
Metarhizium anisopliae,5530,35
Metarhizium brunneum,500148,33
Metarhizium majus ,1650735,37
Metarhizium robertsii,568076,42
Metschnikowia bicuspidata ,27322,30
Metschnikowia chrysoperlae,261276,40
Metschnikowia corniflorae,280591,35
Metschnikowia dekortorum,174643,35
Metschnikowia gruessii,45517,30
Metschnikowia kunwiensis,279289,35
Metschnikowia pulcherrima,27326,30
Metschnikowia similis,473037,35
Meyerozyma guilliermondii,4929,47
Microdochium bolleyi,196109,34
Microdochium nivale,5520,32
Microsporum canis,63405,38
Millerozyma farinosa,4920,53
Moelleriella libera ,324773,31
Monascus purpureus,5098,46
Monascus ruber,89489,44
Monilinia fructicola,38448,33
Monilinia fructigena,38457,35
Monilinia laxa,61186,33
Moniliophthora roreri,221103,33
Morchella eximia,1582338,31
Morchella importuna,1174673,30
Mortierella alpina,64518,35
Mortierella antarctica,979670,32
Mrakia aquatica,752004,30
Mrakia hoshinonis,2692146,20
Mrakia psychrophila,72568,18
Mucor lusitanicus,29924,36
Mucor piriformis,105697,26
Mucor plumbeus,97098,34
Mucor racemosus,4841,33
Mycothermus thermophilus,85995,57
Myriangium duriaei ,147570,25
Naganishia albida,100951,25
Naganishia friedmannii,89922,25
Naganishia kalamii,3016355,35
Naganishia liquefaciens,104408,37
Nakataea oryzae,165778,33.75
Neofusicoccum ribis,45134,35
Neurospora crassa,5141,44
Neurospora tetrasperma ,40127,45
Nigrospora oryzae,335854,47
Ogataea pilisensis,157292,35
Ophiocordyceps sinensis,72228,25
Ophiognomonia clavigignenti-juglandacearum,218668,32
Ophiosphaerella herpotricha,33175,35
Ophiostoma ulmi,5174,38
Pachysolen tannophilus,4918,39
Paecilomyces variotii,264951,47
Papiliotrema laurentii,5418,37
Parastagonospora nodorum,13684,35
Paxillus involutus,71150,28
Penicillium angulare,116970,35
Penicillium antarcticum,416450,30
Penicillium aurantiogriseum,36655,30
Penicillium brevicompactum,5074,30
Penicillium capsulatum,69766,35
Penicillium chrysogenum,5076,37.5
Penicillium citreonigrum,69768,37.5
Penicillium citrinum,5077,42
Penicillium commune,36653,36
Penicillium decumbens,69771,40
Penicillium digitatum,36651,35
Penicillium expansum,27334,43
Penicillium glabrum,69773,30
Penicillium italicum,40296,32.5
Penicillium olsonii,99116,32
Penicillium oxalicum,69781,36
Penicillium polonicum,60169,28
Penicillium roqueforti,5082,34
Penicillium rubens,1108849,30
Penicillium salamii,1612424,29
Penicillium verrucosum,60171,36
Peronosclerospora sorghi,230839,30
Peronospora destructor,86335,28
Pestalotiopsis fici,393283,45
Phaeoacremonium minimum ,223192,35
Phaeomoniella chlamydospora,158046,37
Phakopsora pachyrhizi,170000,35
Phallus Impudicus,146781,28
Phanerochaete carnosa,231932,32
Phenoliferia glacialis ,418497,22
Phlebia radiata,5308,34
Phlebiopsis gigantea,82310,31
Pholiota adiposa,64639,34
Phycomyces blakesleeanus,4837,32
Phycomyces nitens,269771,34
Phyllosticta ampelicida,115983,35
Phyllosticta citricarpa,55181,38
Phytophthora boehmeriae,109152,35
Phytophthora cactorum,29920,38
Phytophthora capsici,4784,37.5
Phytophthora cinnamomi,4785,35
Phytophthora citricola,53984,33
Phytophthora citrophthora,4793,37
Phytophthora colocasiae,129350,35
Phytophthora cryptogea,4786,35
Phytophthora hibernalis,175300,32
Phytophthora infestans,4787,36.5
Phytophthora meadii,192975,35
Phytophthora nicotianae,4792,44
Phytophthora pini,658425,35
Phytopythium vexans,907947,35.5
Pichia membranifaciens,4926,45
Pichia sporocuriosa,87101,35
Pisolithus tinctorius,37468,33
Plasmopara viticola,143451,35
Plenodomus tracheiphilus,1077377,30
Pleurotus citrinopileatus,98342,32
Pleurotus eryngii,5323,38
Pleurotus giganteus,1156456,33
Pleurotus ostreatus,5322,36
Pneumocystis carinii,4754,40
Pneumocystis jirovecii,42068,39
Podila verticillata,78898,24
Podosphaera leucotricha,79249,33
Porostereum spadiceum,103378,35
Pseudocercospora fijiensis,1873960,36
Pseudogymnoascus destructans,655981,19.8
Pseudoperonospora cubensis,143453,31
Pseudopestalotiopsis theae,218556,38
Puccinia allii,208347,25
Puccinia coronata,27344,35
Puccinia graminis,5297,35
Puccinia hordei,27345,30
Puccinia sorghi,27349,32
Puccinia striiformis,27350,32
Purpureocillium lilacinum,33203,33
Pyrenophora graminea,5028,34
Pyrenophora teres,53485,33
Pyrenophora tritici-repentis,45151,35
Pyricularia grisea,148305,37
Pyricularia oryzae,318829,39
Pythium aphanidermatum,65070,45
Pythium arrhenomanes,82932,42
Pythium monospermum,92964,35
Pythium scleroteichum,289615,38.5
Rasamsonia byssochlamydoides,89139,50
Rasamsonia emersonii,68825,60
Recurvomyces mirabilis,574656,22
Rhinocladiella mackenziei,86056,42
Rhizoctonia solani,456999,39
Rhizomucor miehei,4839,55
Rhizomucor pusillus,4840,52
Rhizophlyctis rosea,64517,35
Rhizopogon roseolus,90004,34
Rhizopus microsporus,58291,58
Rhizopus stolonifer,4846,41
Rhodotorula frigidialcoholis,2741679,37
Rhodotorula glutinis,5535,33
Rhodotorula graminis,29898,36
Rhodotorula mucilaginosa,5537,36
Russula emetica,152958,33
Russula virescens,71688,38
Saccharomyces arboricola,706196,35
Saccharomyces cerevisiae,4932,45.39
Saccharomyces eubayanus,1080349,38
Saccharomyces jurei,1987369,37
Saccharomyces kudriavzevii,114524,36.8
Saccharomyces mikatae,114525,40.2
Saccharomyces paradoxus,27291,41.65
Saccharomyces pastorianus,27292,34
Saccharomycopsis fibuligera,4944,37.8
Sarocladium terricola,1610694,35
Saxispiralis lemnorum,3075358,28
Schizophyllum commune,5334,45
Schizosaccharomyces octosporus,4899,34
Schizosaccharomyces pombe ,4896,40
Sclerospora graminicola,162130,38
Sclerotinia borealis,77105,15
Sclerotinia minor,38451,32.5
Sclerotinia nivalis,352851,28
Sclerotinia sclerotiorum,5180,37
Serpula himantioides,80602,36
Serpula lacrymans,85982,32
Sordaria macrospora ,5147,42
Sporisorium reilianum,72558,36
Sporisorium sorghi,63387,35
Sporobolomyces roseus,40563,25
Stemphylium vesicarium,119933,37
Stenocarpella maydis,238245,40
Stereum hirsutum,40492,38
Stromatinia cepivora,38492,29
Stropharia rugosoannulata,68746,34
Suillus grevillei,5382,31
Suillus luteus,5384,31
Suillus punctipes,48581,33
Synchytrium endobioticum,286115,30
Syzygites megalocarpus,101119,30
Talaromyces amestolkiae,1196081,42
Talaromyces marneffei,37727,39
Talaromyces purpureogenus,1266744,40
Talaromyces stipitatus,28564,41
Taphrina deformans,5011,28
Tausonia pullulans,82525,25
Thamnidium elegans,101142,27
Thelephora terrestris,56493,30
Thermoascus aurantiacus,5087,61
Thermoascus crustaceus,5088,55
Thermoascus thermophilus,1131473,52.5
Thermomyces dupontii,28565,60
Thermomyces lanuginosus,5541,62
Thermothelomyces thermophilus,78579,60
Tilletia laevis,157183,36
Tilletiopsis washingtonensis,58919,22.5
Tolypocladium cylindrosporum,38005,29
Tolypocladium inflatum,29910,45
Trametes cingulata,575983,55
Trametes gibbosa,160864,40
Trametes versicolor,5325,40
Trichoderma citrinoviride,58853,43
Trichoderma harzianum,5544,36
Trichoderma atroviride,63577,32
Trichoderma reesei,51453,45
Trichoderma virens,29875,37
Trichoderma viride,5547,44
Tricholoma bakamatsutake,51221,32
Tricholoma matsutake,40145,31
Tricholoma terreum,76328,29
Trichophyton benhamiae,63400,41
Trichophyton equinum,63418,42
Trichophyton rubrum,5551,43
Trichothecium roseum,47278,35
Tuber borchii ,42251,36
Tuber brumale,60458,30
Tuber melanosporum,39416,34
Uromyces transversalis,462795,25
Ustilaginoidea virens,1159556,35
Ustilago hordei,120017,35
Ustilago nuda,86802,35
Venturia carpophila,86257,36
Venturia effusa,50376,30
Venturia inaequalis,5025,33.5
Verpa bohemica,44609,30
Verruconis gallopava,253628,45
Verticillium dahliae,27337,36
Vishniacozyma victoriae,1895944,25
Volvariella volvacea,36659,43
Vuilleminia comedens,47058,33
Xylaria arbuscula,114810,35
Xylaria hypoxylon,37992,30
Xylaria polymorpha,77046,30
Yamadazyma laniorum,1944661,35
Yamadazyma nakazawae,45506,35
Yamadazyma scolyti,45511,40
Yarrowia lipolytica,4952,30
Zasmidium cellare,395010,44
Zygosaccharomyces lentus,85125,25
Zygosaccharomyces rouxii,4956,35
Blastomyces dermatitidis,5039,40
Zymoseptoria tritici,1047171,32.2
